Date,Value
3/31/22,2043000
4/1/22,1939000
4/20/22,1585000
4/21/22,1578000
4/22/22,2577000
4/25/22,2525000
4/26/22,1981000
4/27/22,2093000
4/28/22,1525000
4/29/22,2383000
5/2/22,2497000
5/3/22,1714000
5/4/22,1919000
5/5/22,1731000
5/6/22,2153000
5/9/22,2224000
5/10/22,2201000
5/11/22,2220000
5/12/22,2118000
5/13/22,2338000
5/16/22,2000000
5/17/22,1953000
5/18/22,2695000
5/19/22,2451000
5/20/22,2726000
6/1/22,2173000
6/2/22,1976000
6/3/22,1902000
6/6/22,1710000
6/7/22,1884000
6/8/22,1788000
6/9/22,2125000
6/10/22,2950000
6/13/22,3137000
6/14/22,2689000
6/15/22,2282000
6/16/22,3108000
6/17/22,2496000
6/21/22,2113000
6/22/22,2167000
6/23/22,1980000
6/24/22,2571000
6/27/22,1828000
6/28/22,2375000
6/29/22,2017000
6/30/22,2519000
7/1/22,2045000
7/13/22,2330000
7/14/22,2478000
7/15/22,2024000
7/18/22,2039000
7/19/22,2485000
7/20/22,2365000
7/21/22,2062000
7/22/22,2221000
7/25/22,1670000
7/26/22,1668000
7/27/22,2004000
7/28/22,2470000
7/29/22,2672000
8/1/22,2110000
8/2/22,2116000
8/3/22,2210000
8/4/22,1774000
8/5/22,2157000
8/8/22,2126000
8/9/22,1607000
8/10/22,2436000
8/11/22,2534000
8/12/22,2269000
9/7/22,2553000
9/8/22,2500000
9/9/22,2610000
9/12/22,2608000
9/13/22,3140000
9/14/22,2695000
9/15/22,2860000
9/16/22,2791000
9/19/22,2291000
9/20/22,2495000
9/21/22,2323000
9/22/22,3049000
9/23/22,3784000
9/26/22,2816000
9/27/22,3186000
9/28/22,2931000
9/29/22,2952000
9/30/22,3279000
10/3/22,2714000
10/4/22,3020000
10/5/22,2697000
10/6/22,2471000
10/7/22,3231000
10/19/22,2566000
10/20/22,2937000
10/21/22,3122000
10/24/22,2649000
10/25/22,2710000
10/26/22,3073000
10/27/22,2616000
10/28/22,3216000
10/31/22,2634000
11/1/22,2386000
11/2/22,2403000
11/3/22,2757000
11/4/22,3282000
11/7/22,2248000
11/8/22,2954000
11/9/22,2589000
11/10/22,3545000
11/11/22,3126000
11/14/22,2510000
11/15/22,3016000
11/16/22,2406000
11/17/22,2720000
11/18/22,2391000
11/30/22,3223000
12/1/22,2637000
12/2/22,2569000
12/5/22,2707000
12/6/22,3105000
12/7/22,2417000
12/8/22,2162000
12/9/22,2480000
12/12/22,2557000
12/13/22,3219000
12/14/22,2474000
12/15/22,3391000
12/16/22,2884000
12/19/22,2414000
12/20/22,2269000
12/21/22,2519000
12/22/22,2851000
12/23/22,2169000
12/27/22,1811000
12/28/22,2430000
12/29/22,2166000
12/30/22,2756000
1/18/23,3161000
1/19/23,2844000
1/20/23,2646000
1/23/23,3028000
1/24/23,2095000
1/25/23,2746000
1/26/23,2633000
1/27/23,2868000
1/30/23,2489000
1/31/23,2421000
2/1/23,2480000
2/2/23,3510000
2/3/23,2942000
2/6/23,2286000
2/7/23,2709000
2/8/23,2529000
2/9/23,2607000
2/10/23,2546000
2/13/23,2369000
2/14/23,3020000
2/15/23,2603000
2/16/23,3076000
2/17/23,2720000
3/8/23,2330000
3/9/23,3495000
3/10/23,4203000
3/13/23,3227000
3/14/23,3292000
3/15/23,3142000
3/16/23,3412000
3/17/23,2985000
3/20/23,2541000
3/21/23,2654000
3/22/23,2517000
3/23/23,3089000
3/24/23,2730000
3/27/23,2269000
3/28/23,2242000
3/29/23,2392000
3/30/23,2373000
3/31/23,3293000
4/3/23,2494000
4/4/23,2687000
4/5/23,2311000
4/6/23,2462000
