Date,Value
21-Oct-19,947971
18-Oct-19,1434000
17-Oct-19,1210000
16-Oct-19,1560000
4-Oct-19,1453000
3-Oct-19,1547000
2-Oct-19,2267000
1-Oct-19,1214000
30-Sep-19,1200000
27-Sep-19,1830000
26-Sep-19,935734
25-Sep-19,1311000
24-Sep-19,1513000
23-Sep-19,1127000
20-Sep-19,1574000
19-Sep-19,1546000
18-Sep-19,1791000
17-Sep-19,1066000
16-Sep-19,1209000
13-Sep-19,1375000
12-Sep-19,1429000
11-Sep-19,1229000
10-Sep-19,1012000
9-Sep-19,1309000
6-Sep-19,1364000
5-Sep-19,1490000
4-Sep-19,1254000
16-Aug-19,1687000
15-Aug-19,1473000
14-Aug-19,2163000
13-Aug-19,1278000
12-Aug-19,1189000
9-Aug-19,1423000
8-Aug-19,1274000
7-Aug-19,1493000
6-Aug-19,1732000
5-Aug-19,2606000
2-Aug-19,1973000
1-Aug-19,1641000
31-Jul-19,1290000
30-Jul-19,932289
29-Jul-19,879678
26-Jul-19,1054000
25-Jul-19,838297
24-Jul-19,1202000
23-Jul-19,800979
22-Jul-19,1013000
19-Jul-19,1576000
18-Jul-19,1367000
17-Jul-19,1266000
4-Jan-19,1881000
3-Jan-19,1518000
2-Jan-19,1909000
31-Dec-18,1629000
28-Dec-18,1836000
27-Dec-18,1998000
26-Dec-18,2325000
24-Dec-18,1885000
21-Dec-18,2572000
20-Dec-18,2940000
12-Oct-18,2356000
11-Oct-18,2960000
10-Oct-18,2714000
9-Oct-18,963899
8-Oct-18,1571000
5-Oct-18,1653000
4-Oct-18,1757000
3-Oct-18,1149000
2-Oct-18,776224
1-Oct-18,1170000
28-Sep-18,1408000
27-Sep-18,1284000
26-Sep-18,1092000
25-Sep-18,879351
24-Sep-18,1321000
21-Sep-18,1704000
20-Sep-18,2175000
19-Sep-18,1189000
18-Sep-18,1144000
17-Sep-18,1261000
14-Sep-18,1373000
13-Sep-18,1269000
12-Sep-18,1178000
29-Jun-18,1195000
28-Jun-18,1289000
27-Jun-18,1307000
26-Jun-18,1052000
25-Jun-18,1630000
22-Jun-18,1039000
21-Jun-18,1073000
20-Jun-18,1304000
19-Jun-18,970452
