,Date,Increase,Decrease,Tgt_level,Vbilx: T-T+15,Vbilx: T-15-T,Vbirx: T-T+15,Vbirx: T-15-T,SP500: T-T+15,SP500: T-15-T
0,2015-12-17,25.0,0.0,0.25.0.50,0.005319275387403177,0.003079784694731691,0.0019152602611172131,0.002007415985608052,-0.02504498159734103,-0.004178752979694944
1,2016-12-15,25.0,0.0,0.50.0.75,0.0026816054547829093,0.0,0.0009623091651420612,0.0,0.004105126748562338,-0.0005538053691885869
2,2017-03-16,25.0,0.0,0.75.1.00,0.002671281907230094,0.0026550219076155734,0.0009598609518515211,0.0009569765632115868,-0.0049428573824239486,0.00293293606791889
3,2017-06-15,25.0,0.0,1.00.1.25,-0.0034691292213858693,0.0026265100880520365,-0.0009540348028588275,0.0009548080756933697,0.006374286276826124,0.0072547760609069645
4,2017-12-14,25.0,0.0,1.25.1.50,-0.002629273845000668,0.0026335407942812417,-0.0009615835096085101,0.0009616610917027035,0.010255928798092118,0.0009195738410099352
5,2018-03-22,25.0,0.0,1.50.1.75,0.0009101548824594907,-0.0018131095137291497,2.220446049250313e-16,-1.1102230246251565e-16,-0.019683398907788696,0.002619913553907338
6,2018-06-14,25.0,0.0,1.75.2.00,0.0027554206669384573,0.008294868850811543,0.000978868447576886,0.003917863573818625,-0.0006773237066897142,-0.001141518991058632
7,2018-09-27,25.0,0.0,2.00.2.25,0.0014721571002360712,-0.0018237398654217252,0.0007844460010533183,-0.0009753952738718041,0.006407499045069542,-0.003970781693553693
8,2018-12-20,25.0,0.0,2.25.2.50,0.0009101714576034148,0.004348493910016904,0.0019475394438241977,0.0018627482468711598,-0.06217091616938408,0.0290809307389166
9,2019-08-01,0.0,25.0,2.00.2.25,0.01538447381877095,-0.0017135272550560243,0.006647857696898907,0.0,-0.04551097511055624,0.0070930516158995705
10,2019-09-19,0.0,25.0,1.75.2.00,0.006779450452366387,0.0005875872650877856,0.002843423547030488,0.0009444169153405291,-0.004972179078267636,0.019971001965732427
11,2019-10-31,0.0,25.0,1.50.1.75,0.001435740900910254,-0.008347111127835372,0.0018939276664620142,-0.0037629283996846175,0.010338817830029878,0.01601356443104751
12,2020-03-03,0.0,50.0,1.00.1.25,0.015472214547680885,-0.0024897335010212185,0.007448541080562476,-0.0009408157532290184,-0.021451477721722956,0.015548229863780128
13,2020-03-16,0.0,100.0,0.0.25,-0.029850714108286325,0.005775741267964873,-0.007469593319654688,0.0037561023630183765,-0.1154251905186976,-0.06632012583327085
14,2022-03-17,25.0,0.0,0.25.0.50,-0.007149162519940688,0.011164301588546754,-0.004859197684309646,0.004626824689739628,0.023708884636037153,0.035129570465034066
15,2022-05-05,50.0,0.0,0.75.1.00,-0.006572721546565186,-0.008310336851452105,0.0,-0.0029470722928239823,-0.07184134580725865,-0.0013098500267202384
16,2022-06-16,75.0,0.0,1.50.1.75,-0.00096631102878042,0.005596921575082181,0.001001972106389415,0.0019687628168465476,-0.00664909406093428,0.05499457056740087
17,2022-07-28,75.0,0.0,2.25.2.50,0.0149653377601211,-0.002838211831107329,0.00514485934359854,-0.001984180338967967,0.02361560886865277,0.00243167892475582
18,2022-09-22,75.0,0.0,3.00.3.25,-0.027451041322840042,-0.004780086106403791,-0.010121663117213409,0.0013004638394817913,-0.03559168638998578,-0.015528729403736508
19,2022-11-03,75.0,0.0,3.75.4.00,-0.0060976510147511265,-0.007070762469276404,-0.0020514403288129923,-0.0030643677217707666,0.01253028840143755,0.028213350181575114
20,2022-12-15,50.0,0.0,4.25.4.50,-0.007744458072904359,0.0039564105739182676,-0.0020120670036050115,0.0020324820709669567,-0.04446702642091227,-0.009901138481059335
21,2023-02-02,25.0,0.0,4.50.4.75,-0.015296309633381133,0.009737014329273208,-0.008991105743128225,0.003018121142353225,-0.0019736794191116402,0.020371244498309737
22,2023-03-23,25.0,0.0,4.75.5.00,-0.004821619217613815,0.001997952410795145,-0.001996053577839274,0.0,0.010302339108502201,0.024555915766350633
