Date,S&P_500,returns
2017-09-07,2465.1,-0.00017845989113951521
2017-09-08,2461.43,-0.001488783416494277
2017-09-11,2488.11,0.01083922760346634
2017-09-12,2496.48,0.003363999180100441
2017-09-13,2498.37,0.0007570659488558285
2017-09-14,2495.62,-0.0011007176679195263
2017-09-15,2500.23,0.0018472363580994688
2017-09-18,2503.87,0.0014558660603223306
2017-09-19,2506.65,0.0011102812845715793
2017-09-20,2508.24,0.0006343127281429606
2017-09-21,2500.6,-0.003045960514145296
2017-09-22,2502.22,0.0006478445173156988
2017-09-25,2496.66,-0.002222026840165925
2017-09-26,2496.84,7.209632068461147e-05
2017-09-27,2507.04,0.004085163646849521
2017-09-28,2510.06,0.0012046078243665992
2017-09-29,2519.36,0.0037050907149631662
2017-10-02,2529.12,0.0038739997459671383
2017-10-03,2534.58,0.002158853672423522
2017-10-04,2537.74,0.0012467548864110167
2017-10-05,2552.07,0.005646756562926125
2017-10-06,2549.33,-0.0010736382622734686
2017-10-09,2544.73,-0.001804395664743219
2017-10-10,2550.64,0.002322446782173193
2017-10-11,2555.24,0.001803468933287311
2017-10-12,2550.93,-0.0016867300136190755
2017-10-13,2553.17,0.0008781111202582625
2017-10-16,2557.64,0.0017507647356032052
2017-10-17,2559.36,0.0006724949562879612
2017-10-18,2561.26,0.0007423730932734074
2017-10-19,2562.1,0.0003279635804251946
2017-10-20,2575.21,0.005116896296007312
2017-10-23,2564.98,-0.0039724915637947555
2017-10-24,2569.13,0.0016179463387628878
2017-10-25,2557.15,-0.004663057143858063
2017-10-26,2560.4,0.0012709461705413538
2017-10-27,2581.07,0.008072957350414134
2017-10-30,2572.83,-0.0031924744388955872
2017-10-31,2575.26,0.0009444852555358096
2017-11-01,2579.36,0.001592072256781707
2017-11-02,2579.85,0.00018996960486306058
2017-11-03,2587.84,0.0030970792875555375
2017-11-06,2591.13,0.0012713305304810074
2017-11-07,2590.64,-0.00018910668318461443
2017-11-08,2594.38,0.0014436587098169973
2017-11-09,2584.62,-0.003761977813581785
2017-11-10,2582.3,-0.0008976174447306029
2017-11-13,2584.84,0.0009836192541532451
2017-11-14,2578.87,-0.002309620711533511
2017-11-15,2564.62,-0.005525675974360822
2017-11-16,2585.64,0.008196146017733552
2017-11-17,2578.85,-0.0026260422951377427
2017-11-20,2582.14,0.001275762452255913
2017-11-21,2599.03,0.006541086075890767
2017-11-22,2597.08,-0.0007502799121211767
2017-11-24,2602.42,0.002056155374497548
2017-11-27,2601.42,-0.0003842577293442506
2017-11-28,2627.04,0.00984846737551015
2017-11-29,2626.07,-0.00036923685973555553
2017-11-30,2647.58,0.008190946928299692
2017-12-01,2642.22,-0.00202449028924534
2017-12-04,2639.44,-0.0010521455442770167
2017-12-05,2629.57,-0.003739429575970621
2017-12-06,2629.27,-0.00011408709408766704
2017-12-07,2636.98,0.0029323728639507607
2017-12-08,2651.5,0.005506298872194781
2017-12-11,2659.99,0.0032019611540636816
2017-12-12,2664.11,0.0015488780033008354
2017-12-13,2662.85,-0.0004729534441145766
2017-12-14,2652.01,-0.004070826370242253
2017-12-15,2675.81,0.008974325134520456
2017-12-18,2690.16,0.005362862086620401
2017-12-19,2681.47,-0.003230291135099761
2017-12-20,2679.25,-0.0008279040973793172
2017-12-21,2684.57,0.0019856303069889503
2017-12-22,2683.34,-0.0004581739347455649
2017-12-26,2680.5,-0.0010583824636460903
2017-12-27,2682.62,0.00079089722066783
2017-12-28,2687.54,0.0018340279279212002
2017-12-29,2673.61,-0.005183178668968558
2018-01-02,2695.81,0.008303380074131894
2018-01-03,2713.06,0.006398818907860759
2018-01-04,2723.99,0.004028661363921104
2018-01-05,2743.15,0.007033799683552555
2018-01-08,2747.71,0.0016623225124401397
2018-01-09,2751.29,0.0013029031448006378
2018-01-10,2748.23,-0.0011122055472160275
2018-01-11,2767.56,0.007033618001404562
2018-01-12,2786.24,0.006749627831013516
2018-01-16,2776.42,-0.0035244630756861017
2018-01-17,2802.56,0.009415002053003496
2018-01-18,2798.03,-0.001616379310344751
2018-01-19,2810.3,0.004385228178396927
2018-01-22,2832.97,0.008066754439027823
2018-01-23,2839.13,0.002174396481431362
2018-01-24,2837.54,-0.0005600307136341964
2018-01-25,2839.25,0.0006026346765155566
2018-01-26,2872.87,0.011841155234656897
2018-01-29,2853.53,-0.006731944014173874
2018-01-30,2822.43,-0.010898781509218525
2018-01-31,2823.81,0.0004889403811609849
2018-02-01,2821.98,-0.0006480605989779287
2018-02-02,2762.13,-0.021208513171602883
2018-02-05,2648.94,-0.040979244278871785
2018-02-06,2695.14,0.017440938639606607
2018-02-07,2681.66,-0.0050015954644285765
2018-02-08,2581.0,-0.037536451302551344
2018-02-09,2619.55,0.014936071290197583
2018-02-12,2656.0,0.013914603653299107
2018-02-13,2662.94,0.0026129518072288693
2018-02-14,2698.63,0.013402479965752168
2018-02-15,2731.2,0.0120690869070601
2018-02-16,2732.22,0.0003734622144111466
2018-02-20,2716.26,-0.005841403693699454
2018-02-21,2701.33,-0.00549652831466807
2018-02-22,2703.96,0.0009735944886408721
2018-02-23,2747.3,0.016028343614550522
2018-02-26,2779.6,0.011756997779638123
2018-02-27,2744.28,-0.012706864297021059
2018-02-28,2713.83,-0.011095806550352139
2018-03-01,2677.67,-0.013324342350110263
2018-03-02,2691.25,0.005071573420174946
2018-03-05,2720.94,0.011032048304691067
2018-03-06,2728.12,0.0026387939462098053
2018-03-07,2726.8,-0.00048384968403136774
2018-03-08,2738.97,0.00446310693853591
2018-03-09,2786.57,0.017378795678667736
2018-03-12,2783.02,-0.001273967637633433
2018-03-13,2765.31,-0.00636359063175973
2018-03-14,2749.48,-0.005724493818052956
2018-03-15,2747.33,-0.0007819660444884358
2018-03-16,2752.01,0.0017034720983646334
2018-03-19,2712.92,-0.014204163502312905
2018-03-20,2716.94,0.001481798210046792
2018-03-21,2711.93,-0.001843986249236318
2018-03-22,2643.69,-0.02516289137256489
2018-03-23,2588.26,-0.020966906104724736
2018-03-26,2658.55,0.0271572407717926
2018-03-27,2612.62,-0.017276334844182117
2018-03-28,2605.0,-0.0029166124426820428
2018-03-29,2640.87,0.01376967370441462
2018-04-02,2581.88,-0.02233733580221664
2018-04-03,2614.45,0.01261483879963432
2018-04-04,2644.69,0.011566486259060316
2018-04-05,2662.84,0.00686280811739759
2018-04-06,2604.47,-0.02192020549488527
2018-04-09,2613.16,0.003336571356168383
2018-04-10,2656.87,0.01672687474169199
2018-04-11,2642.19,-0.005525298565605352
2018-04-12,2663.99,0.008250731400845313
2018-04-13,2656.3,-0.0028866474724003055
2018-04-16,2677.84,0.008109023830139561
2018-04-17,2706.39,0.01066157798822931
2018-04-18,2708.64,0.0008313657676830566
2018-04-19,2693.13,-0.005726120857699746
2018-04-20,2670.14,-0.008536535555283331
2018-04-23,2670.29,5.617682967939963e-05
2018-04-24,2634.56,-0.01338056915166519
2018-04-25,2639.4,0.0018371189116968
2018-04-26,2666.94,0.01043418958854292
2018-04-27,2669.91,0.0011136358523251566
2018-04-30,2648.05,-0.008187541902161422
2018-05-01,2654.8,0.0025490455240648746
2018-05-02,2635.67,-0.007205815880669042
2018-05-03,2629.73,-0.0022536964035709817
2018-05-04,2663.42,0.012811201149927953
2018-05-07,2672.63,0.003457960066380883
2018-05-08,2671.92,-0.0002656559269333947
2018-05-09,2697.79,0.009682176113057217
2018-05-10,2723.07,0.009370632999603501
2018-05-11,2727.72,0.0017076314600799058
2018-05-14,2730.13,0.0008835217690965624
2018-05-15,2711.45,-0.006842165025108815
2018-05-16,2722.46,0.004060558004020054
2018-05-17,2720.13,-0.000855843612027285
2018-05-18,2712.97,-0.002632227136203147
2018-05-21,2733.01,0.007386738519040259
2018-05-22,2724.44,-0.0031357367883761977
2018-05-23,2733.29,0.003248373977771557
2018-05-24,2727.76,-0.002023202806873625
2018-05-25,2721.33,-0.002357245505469785
2018-05-29,2689.86,-0.011564198388288038
2018-05-30,2724.01,0.01269582803565994
2018-05-31,2705.27,-0.006879563584568427
2018-06-01,2734.62,0.01084919435028664
2018-06-04,2746.87,0.0044795986279628774
2018-06-05,2748.8,0.0007026178887243884
2018-06-06,2772.35,0.00856737485448189
2018-06-07,2770.37,-0.0007141955380813858
2018-06-08,2779.03,0.0031259362467830343
2018-06-11,2782.0,0.0010687182218256375
2018-06-12,2786.85,0.0017433501078361058
2018-06-13,2775.63,-0.004026050917702695
2018-06-14,2782.49,0.002471510972283708
2018-06-15,2779.66,-0.0010170746345898873
2018-06-18,2773.75,-0.0021261593144484836
2018-06-19,2762.59,-0.004023433979269853
2018-06-20,2767.32,0.0017121614137458607
2018-06-21,2749.76,-0.006345489498865264
2018-06-22,2754.88,0.0018619806819504259
2018-06-25,2717.07,-0.013724735741665661
2018-06-26,2723.06,0.0022045806696182613
2018-06-27,2699.63,-0.008604290761129008
2018-06-28,2716.31,0.006178624478169192
2018-06-29,2718.37,0.0007583817752760957
2018-07-02,2726.71,0.0030680150237090142
2018-07-03,2713.22,-0.00494735413740377
2018-07-05,2736.61,0.00862075320099387
2018-07-06,2759.82,0.008481296202235589
2018-07-09,2784.17,0.008823039183714743
2018-07-10,2793.84,0.0034732074550045677
2018-07-11,2774.02,-0.007094178621538827
2018-07-12,2798.29,0.008749035695488905
2018-07-13,2801.31,0.0010792305300737493
2018-07-16,2798.43,-0.001028090429120665
2018-07-17,2809.55,0.00397365665748306
2018-07-18,2815.62,0.0021604883344306103
2018-07-19,2804.49,-0.003952948196134454
2018-07-20,2801.83,-0.0009484790461010695
2018-07-23,2806.98,0.00183808439484201
2018-07-24,2820.4,0.004780938945058377
2018-07-25,2846.07,0.009101545880016992
2018-07-26,2837.44,-0.003032251490652005
2018-07-27,2818.82,-0.006562253298748155
2018-07-30,2802.6,-0.005754180827438504
