Date,Value
10/18/19,1434000.0
10/21/19,947971.0
10/22/19,809002.0
10/23/19,910342.0
10/24/19,789892.0
10/25/19,1145000.0
10/28/19,1249000.0
10/29/19,946858.0
10/30/19,1138000.0
10/31/19,1520000.0
11/1/19,1425000.0
11/4/19,1262000.0
11/5/19,
11/6/19,
11/7/19,1147000.0
11/8/19,1050000.0
11/11/19,913839.0
11/12/19,976815.0
11/13/19,1221000.0
11/14/19,1148000.0
11/15/19,1489000.0
2/18/20,1623000.0
2/19/20,1649000.0
2/20/20,1624000.0
2/21/20,1776000.0
2/24/20,2755000.0
2/25/20,2375000.0
2/26/20,2535000.0
2/27/20,2827000.0
2/28/20,3593000.0
3/2/20,2283000.0
3/2/20,2283000.0
3/3/20,1576000.0
3/3/20,1576000.0
3/4/20,2074000.0
3/4/20,2074000.0
3/5/20,1510000.0
3/5/20,1510000.0
3/6/20,2425000.0
3/6/20,2425000.0
3/9/20,2340000.0
3/9/20,2340000.0
3/10/20,2075000.0
3/10/20,2075000.0
3/11/20,2167000.0
3/11/20,2167000.0
3/12/20,3038000.0
3/12/20,3038000.0
3/13/20,3209000.0
3/13/20,3209000.0
3/16/20,1903000.0
3/16/20,1903000.0
3/17/20,1954000.0
3/17/20,1954000.0
3/18/20,2514000.0
3/18/20,2514000.0
3/19/20,1812000.0
3/20/20,1733000.0
3/23/20,1594000.0
3/24/20,1522000.0
3/25/20,1740000.0
3/26/20,1393000.0
3/27/20,1429000.0
3/30/20,1311000.0
3/31/20,1558000.0
4/1/20,1400000.0
3/2/22,1619000.0
3/3/22,1125000.0
3/4/22,1819000.0
3/7/22,1840000.0
3/8/22,1529000.0
3/9/22,1712000.0
3/10/22,1400000.0
3/11/22,1881000.0
3/14/22,1778000.0
3/15/22,1423000.0
3/16/22,1995000.0
3/17/22,1507000.0
3/18/22,1856000.0
3/21/22,1759000.0
3/22/22,1515000.0
3/23/22,1481000.0
3/24/22,1112000.0
3/25/22,1910000.0
3/28/22,1782000.0
3/29/22,1655000.0
3/30/22,1733000.0
3/31/22,2043000.0
4/1/22,1939000.0
4/20/22,1585000.0
4/21/22,1578000.0
4/22/22,2577000.0
4/25/22,2525000.0
4/26/22,1981000.0
4/27/22,2093000.0
4/28/22,1525000.0
4/29/22,2383000.0
5/2/22,2497000.0
5/3/22,1714000.0
5/4/22,1919000.0
5/5/22,1731000.0
5/6/22,2153000.0
5/9/22,2224000.0
5/10/22,2201000.0
5/11/22,2220000.0
5/12/22,2118000.0
5/13/22,2338000.0
5/16/22,2000000.0
5/17/22,1953000.0
5/18/22,2695000.0
5/19/22,2451000.0
5/20/22,2726000.0
6/1/22,2173000.0
6/2/22,1976000.0
6/3/22,1902000.0
6/6/22,1710000.0
6/7/22,1884000.0
6/8/22,1788000.0
6/9/22,2125000.0
6/10/22,2950000.0
6/13/22,3137000.0
6/14/22,2689000.0
6/15/22,2282000.0
6/16/22,3108000.0
6/17/22,2496000.0
6/21/22,2113000.0
6/22/22,2167000.0
6/23/22,1980000.0
6/24/22,2571000.0
6/27/22,1828000.0
6/28/22,2375000.0
6/29/22,2017000.0
6/30/22,2519000.0
7/1/22,2045000.0
7/13/22,2330000.0
7/14/22,2478000.0
7/15/22,2024000.0
7/18/22,2039000.0
7/19/22,2485000.0
7/20/22,2365000.0
7/21/22,2062000.0
7/22/22,2221000.0
7/25/22,1670000.0
7/26/22,1668000.0
7/27/22,2004000.0
7/28/22,2470000.0
7/29/22,2672000.0
8/1/22,2110000.0
8/2/22,2116000.0
8/3/22,2210000.0
8/4/22,1774000.0
8/5/22,2157000.0
8/8/22,2126000.0
8/9/22,1607000.0
8/10/22,2436000.0
8/11/22,2534000.0
8/12/22,2269000.0
9/7/22,2553000.0
9/8/22,2500000.0
9/9/22,2610000.0
9/12/22,2608000.0
9/13/22,3140000.0
9/14/22,2695000.0
9/15/22,2860000.0
9/16/22,2791000.0
9/19/22,2291000.0
9/20/22,2495000.0
9/21/22,2323000.0
9/22/22,3049000.0
9/23/22,3784000.0
9/26/22,2816000.0
9/27/22,3186000.0
9/28/22,2931000.0
9/29/22,2952000.0
9/30/22,3279000.0
10/3/22,2714000.0
10/4/22,3020000.0
10/5/22,2697000.0
10/6/22,2471000.0
10/7/22,3231000.0
10/19/22,2566000.0
10/20/22,2937000.0
10/21/22,3122000.0
10/24/22,2649000.0
10/25/22,2710000.0
10/26/22,3073000.0
10/27/22,2616000.0
10/28/22,3216000.0
10/31/22,2634000.0
11/1/22,2386000.0
11/2/22,2403000.0
11/3/22,2757000.0
11/4/22,3282000.0
11/7/22,2248000.0
11/8/22,2954000.0
11/9/22,2589000.0
11/10/22,3545000.0
11/11/22,3126000.0
11/14/22,2510000.0
11/15/22,3016000.0
11/16/22,2406000.0
11/17/22,2720000.0
11/18/22,2391000.0
11/30/22,3223000.0
12/1/22,2637000.0
12/2/22,2569000.0
12/5/22,2707000.0
12/6/22,3105000.0
12/7/22,2417000.0
12/8/22,2162000.0
12/9/22,2480000.0
12/12/22,2557000.0
12/13/22,3219000.0
12/14/22,2474000.0
12/15/22,3391000.0
12/16/22,2884000.0
12/19/22,2414000.0
12/20/22,2269000.0
12/21/22,2519000.0
12/22/22,2851000.0
12/23/22,2169000.0
12/27/22,1811000.0
12/28/22,2430000.0
12/29/22,2166000.0
12/30/22,2756000.0
1/18/23,3161000.0
1/19/23,2844000.0
1/20/23,2646000.0
1/23/23,3028000.0
1/24/23,2095000.0
1/25/23,2746000.0
1/26/23,2633000.0
1/27/23,2868000.0
1/30/23,2489000.0
1/31/23,2421000.0
2/1/23,2480000.0
2/2/23,3510000.0
2/3/23,2942000.0
2/6/23,2286000.0
2/7/23,2709000.0
2/8/23,2529000.0
2/9/23,2607000.0
2/10/23,2546000.0
2/13/23,2369000.0
2/14/23,3020000.0
2/15/23,2603000.0
2/16/23,3076000.0
2/17/23,2720000.0
3/8/23,2330000.0
3/9/23,3495000.0
3/10/23,4203000.0
3/13/23,3227000.0
3/14/23,3292000.0
3/15/23,3142000.0
3/16/23,3412000.0
3/17/23,2985000.0
3/20/23,2541000.0
3/21/23,2654000.0
3/22/23,2517000.0
3/23/23,3089000.0
3/24/23,2730000.0
3/27/23,2269000.0
3/28/23,2242000.0
3/29/23,2392000.0
3/30/23,2373000.0
3/31/23,3293000.0
4/3/23,2494000.0
4/4/23,2687000.0
4/5/23,2311000.0
4/6/23,2462000.0
