,Date,Increase,Decrease,Tgt_level,Vbilx: T-T+15,Vbilx: T-15-T,Vbirx: T-T+15,Vbirx: T-15-T,SP500: T-T+15,SP500: T-15-T
0,2015-12-17,25.0,0.0,0.25.0.50,0.005319125585965034,0.003080618765173515,0.0019157163578875647,0.0020074221438466378,-0.02504498159734103,-0.004178752979694944
1,2016-12-15,25.0,0.0,0.50.0.75,0.0026818742924523686,0.0,0.0009626114253757923,-1.1102230246251565e-16,0.004105126748562338,-0.0005538053691885869
2,2017-03-16,25.0,0.0,0.75.1.00,0.0026711066017388596,0.0026544329512709908,0.0009592521582153513,0.0009568749246087194,-0.0049428573824239486,0.00293293606791889
3,2017-06-15,25.0,0.0,1.00.1.25,-0.003469448240740136,0.0026265648647989526,-0.0009546469942708358,0.0009550146775791912,0.006374286276826124,0.0072547760609069645
4,2017-12-14,25.0,0.0,1.25.1.50,-0.002629037100311815,0.002633776591220771,-0.0009617059743459722,0.0009613766355456299,0.010255928798092118,0.0009195738410099352
5,2018-03-22,25.0,0.0,1.50.1.75,0.0009101577396064542,-0.0018132146048791542,0.0,0.0,-0.019683398907788696,0.002619913553907338
6,2018-06-14,25.0,0.0,1.75.2.00,0.0027553758779612636,0.00829437679706535,0.0009786019231150522,0.003917697240022333,-0.0006773237066897142,-0.001141518991058632
7,2018-09-27,25.0,0.0,2.00.2.25,0.0014718364455710287,-0.0018232155519247728,0.0007844463988961881,-0.0009755426954614066,0.006407499045069542,-0.003970781693553693
8,2018-12-20,25.0,0.0,2.25.2.50,0.0009103187667920398,0.004348269778651437,0.0019472512908955686,0.001862785305823289,-0.06217091616938408,0.0290809307389166
9,2019-08-01,0.0,25.0,2.00.2.25,0.015384847726858775,-0.0017137802491483667,0.006647744147939116,0.0,-0.04551097511055624,0.0070930516158995705
10,2019-09-19,0.0,25.0,1.75.2.00,0.006779900903566505,0.0005866392256712594,0.002843000448905064,0.0009440256296000538,-0.004972179078267636,0.019971001965732427
11,2019-10-31,0.0,25.0,1.50.1.75,0.001434878489246838,-0.00834698045146487,0.0018938191960011785,-0.0037632686589506026,0.010338817830029878,0.01601356443104751
12,2020-03-03,0.0,50.0,1.00.1.25,0.01547237115973843,-0.0024901469768074946,0.007448865207865474,-0.0009406302684770163,-0.021451477721722956,0.015548229863780128
13,2020-03-16,0.0,100.0,0.0.25,-0.029851055757906808,0.005775465191251605,-0.007469451031735463,0.0037557362705447073,-0.1154251905186976,-0.06632012583327085
14,2022-03-17,25.0,0.0,0.25.0.50,-0.007149280363019428,0.011164111150754108,-0.004859109778937221,0.004627230397774795,0.023708884636037153,0.035129570465034066
15,2022-05-05,50.0,0.0,0.75.1.00,-0.006572647954674271,-0.008310299811255195,0.0,-0.0029470641787414653,-0.07184134580725865,-0.0013098500267202384
16,2022-06-16,75.0,0.0,1.50.1.75,-0.000966304609104518,0.0055971317692278255,0.0010020375215356037,0.0019684112324513947,-0.00664909406093428,0.05499457056740087
17,2022-07-28,75.0,0.0,2.25.2.50,0.01496551212112407,-0.002838204758447649,0.005144787475944712,-0.0019839310595940463,0.02361560886865277,0.00243167892475582
18,2022-09-22,75.0,0.0,3.00.3.25,-0.027450939052341305,-0.004780117910068826,-0.010121511211540923,0.001300306606223156,-0.03559168638998578,-0.015528729403736508
19,2022-11-03,75.0,0.0,3.75.4.00,-0.006097753445842291,-0.007070648085289566,-0.00205149896375012,-0.0030642996503912334,0.01253028840143755,0.028213350181575114
20,2022-12-15,50.0,0.0,4.25.4.50,-0.007744349623152846,0.003956477223970634,-0.002011936219893262,0.0020324422885160676,-0.04446702642091227,-0.009901138481059335
21,2023-02-02,25.0,0.0,4.50.4.75,-0.015296267111427286,0.00973709570430037,-0.008991006221667708,0.0030180786788873704,-0.0019736794191116402,0.020371244498309737
22,2023-03-23,25.0,0.0,4.75.5.00,-0.004821619795799759,0.001998028998495993,-0.001996036912285337,2.220446049250313e-16,0.010302339108502201,0.024555915766350633
